5.52	25.92	66.28	41.88	26.72	19.72	18.64	15.64	13.92	12.96	12.6	11.28	10.64	10.2	9.68	9.64	8.84	8.92	8.52	8.4	8.2	7.92	8.04	7.6	7.64	7.4	7.48	7.24	7.12	7.04	7.12	6.96	6.84	6.68	6.8	6.6	6.72	6.36	6.4	6.4	6.36
5.76	27.0	28.88	27.4	25.72	24.8	22.76	18.96	18.28	16.36	14.8	14.44	12.68	11.56	10.4	10.8	9.64	9.84	9.24	8.8	8.6	8.4	8.36	8.04	7.76	7.72	7.76	7.56	7.4	7.2	7.24	7.12	7.16	6.92	6.84	6.76	7.0	6.68	6.68	6.44	6.44
5.28	25.6	28.56	26.84	26.56	24.84	23.92	21.12	19.16	16.76	15.52	13.44	12.72	12.68	11.6	10.72	10.0	10.0	9.32	9.16	8.92	8.64	8.28	8.08	8.04	7.72	7.64	7.52	7.44	7.28	7.32	7.2	6.96	7.08	6.96	6.8	6.88	6.76	6.6	6.6	6.52
5.52	28.0	28.2	26.28	26.96	26.84	23.88	21.32	18.84	15.88	15.16	13.44	11.88	11.6	11.08	10.44	9.96	9.48	9.16	8.72	8.72	8.24	8.12	8.08	7.84	7.52	7.64	7.44	7.52	7.24	7.12	7.12	7.0	7.0	6.88	6.96	6.72	6.68	6.48	6.56	6.4
5.28	25.04	26.4	27.96	27.0	24.36	22.04	22.04	19.12	15.84	14.88	13.68	12.92	12.08	11.04	10.16	9.92	9.48	9.36	9.0	8.64	8.56	8.24	8.0	8.0	7.72	7.84	7.52	7.48	7.28	7.28	7.0	7.12	6.88	6.96	6.72	6.76	6.72	6.52	6.56	6.52
5.52	28.16	26.72	27.0	27.88	25.12	23.0	20.0	18.8	16.88	15.68	14.28	12.52	12.48	11.56	10.2	10.08	9.52	9.48	8.96	8.84	8.6	8.16	8.16	7.96	7.8	7.56	7.44	7.36	7.2	7.12	7.04	7.0	7.04	6.8	6.92	6.76	6.72	6.6	6.44	6.52
5.28	25.6	26.0	24.44	24.0	22.44	19.6	19.44	18.32	16.36	14.12	13.8	12.76	12.12	11.68	10.16	9.76	9.64	9.4	9.04	8.88	8.48	8.16	8.0	7.84	7.84	7.72	7.56	7.36	7.24	7.2	7.12	7.12	7.04	6.96	6.92	6.88	6.88	6.88	6.6	6.4
5.52	28.4	25.8	22.8	23.24	20.52	19.8	18.36	17.0	16.4	15.24	14.24	13.64	12.32	11.4	11.88	10.16	10.16	9.6	9.24	8.76	9.0	8.48	8.28	8.16	7.92	8.04	7.76	7.64	7.48	7.48	7.08	7.04	7.0	6.96	6.96	6.72	6.76	6.76	6.8	6.56
5.28	30.92	23.16	24.92	21.16	21.08	19.12	18.64	17.68	15.84	15.56	13.84	12.44	11.72	11.56	10.76	10.48	9.72	9.48	9.16	8.8	8.88	8.2	8.44	8.12	7.88	7.72	7.6	7.52	7.24	7.04	7.04	7.04	7.0	7.04	6.96	6.92	6.72	6.64	6.72	6.64
5.76	21.56	25.56	23.6	21.64	19.72	18.96	18.12	17.4	15.28	14.44	13.72	13.12	11.52	11.48	11.32	10.36	9.84	9.2	9.04	9.08	8.44	8.24	8.2	7.96	7.76	7.72	7.72	7.4	7.48	7.24	7.32	7.16	7.08	6.92	6.88	6.64	6.84	6.64	6.6	6.56
4.56	22.48	26.88	22.32	21.64	20.32	18.96	16.84	17.04	15.84	14.64	13.32	12.48	12.44	11.04	10.36	10.52	10.0	9.04	9.12	8.56	8.64	8.44	8.16	7.96	8.04	7.84	7.56	7.44	7.28	7.28	7.2	6.96	7.0	7.0	6.72	6.88	6.76	6.64	6.68	6.6
5.76	22.24	23.08	22.88	19.4	17.76	16.88	15.8	14.84	14.24	13.84	12.76	13.2	12.16	11.4	11.08	10.52	10.16	9.84	9.36	9.2	8.88	8.72	8.24	7.96	8.24	7.92	7.84	7.52	7.56	7.4	7.2	7.32	7.12	7.04	7.0	6.92	7.0	6.96	6.96	6.8
4.8	13.24	25.16	22.08	19.44	17.72	16.48	15.32	14.64	14.04	14.24	13.84	12.92	12.52	12.08	10.96	11.24	10.4	10.08	9.64	9.44	9.28	8.64	8.36	8.48	8.16	8.04	8.0	7.48	7.4	7.32	7.16	7.2	7.08	7.0	7.04	6.96	6.88	7.0	6.64	6.76
4.8	25.64	24.12	20.04	18.72	17.32	15.84	15.32	14.2	14.08	13.36	12.96	12.12	11.8	11.48	11.36	10.76	10.2	9.96	9.48	9.36	9.24	8.56	8.64	8.04	8.12	7.96	7.8	7.8	7.48	7.28	7.4	7.32	7.16	7.12	6.92	7.04	6.88	6.96	6.84	6.68
5.76	26.32	24.92	19.48	18.4	16.44	15.08	15.24	14.2	13.28	13.44	12.68	12.0	12.08	11.76	11.16	10.28	10.28	10.52	9.28	9.64	9.08	8.56	8.52	8.44	8.12	8.12	7.96	7.8	7.68	7.28	7.28	7.44	7.28	7.04	7.2	7.0	7.08	6.8	6.72	6.72
5.52	29.48	25.88	20.12	18.04	16.96	16.04	15.08	14.24	13.2	12.2	12.72	12.04	11.96	11.24	11.12	10.48	10.12	10.12	9.56	9.36	9.4	8.56	8.44	8.48	8.28	8.36	8.12	7.76	7.48	7.48	7.36	7.24	7.04	7.0	7.0	6.88	6.84	6.76	6.76	6.72
5.52	32.52	21.84	20.52	17.68	15.92	14.84	14.36	13.36	13.04	12.48	11.92	11.8	11.4	11.4	10.96	11.12	10.48	10.08	9.92	9.6	9.28	9.32	8.84	8.6	8.8	8.28	8.36	8.08	7.8	7.8	7.44	7.44	7.52	7.36	7.08	7.24	7.24	7.12	7.08	7.0
5.76	29.12	25.48	19.44	16.76	16.16	13.68	13.0	12.04	11.76	10.8	10.76	10.4	10.0	9.92	9.64	9.2	9.12	9.2	9.04	9.0	8.68	8.64	8.48	8.52	8.4	8.16	8.0	7.92	8.0	7.92	7.8	7.76	7.6	7.52	7.52	7.2	7.2	7.28	7.16	7.12
5.76	30.04	22.68	19.28	17.28	14.68	13.48	12.6	11.84	11.4	11.2	10.88	10.16	9.96	9.64	9.52	9.24	9.32	9.04	9.16	8.6	8.84	8.48	8.48	8.4	8.32	8.36	8.08	8.04	8.08	7.92	7.48	7.6	7.6	7.48	7.32	7.48	7.28	7.32	7.08	7.16
5.52	24.84	24.4	19.84	16.32	15.08	14.16	12.2	12.16	11.6	11.08	10.84	10.32	9.92	9.96	9.32	9.28	9.32	8.76	8.76	8.8	8.64	8.64	8.56	8.28	8.28	8.32	8.0	7.96	7.8	7.6	7.92	7.72	7.48	7.4	7.4	7.2	7.28	7.24	7.24	7.2
5.28	24.64	25.08	18.92	16.32	14.48	13.52	12.48	12.0	11.52	10.92	10.48	10.0	9.84	9.68	9.56	9.28	9.08	8.76	8.6	8.72	8.48	8.4	8.28	8.24	8.32	8.0	8.08	7.8	7.8	7.72	7.88	7.72	7.68	7.44	7.6	7.28	7.08	7.28	6.96	7.12
5.76	27.76	22.6	18.48	16.64	14.16	12.72	11.76	10.88	10.2	9.6	9.76	9.08	8.72	8.24	8.32	8.12	7.92	7.52	7.72	7.32	7.16	7.16	7.16	7.0	6.84	6.8	6.84	6.6	6.32	6.28	6.32	6.08	6.08	6.0	6.0	6.04	6.0	6.0	6.0	6.0
5.52	25.12	19.68	17.52	15.36	13.84	12.6	11.8	10.92	10.24	10.0	9.56	9.0	8.44	8.4	8.32	7.92	7.56	7.48	7.64	7.48	7.12	7.24	7.16	7.0	6.88	6.92	6.68	6.72	6.28	6.64	6.36	6.24	6.04	6.04	6.08	6.04	6.04	6.0	6.0	6.04
5.04	28.16	23.92	19.12	14.68	14.12	12.4	11.48	10.72	9.96	9.8	9.52	9.28	9.0	8.28	8.16	8.12	8.0	7.76	7.56	7.44	7.28	7.04	7.04	7.08	6.84	6.88	6.64	6.56	6.6	6.44	6.36	6.16	6.2	6.12	6.04	6.0	6.0	6.0	6.0	6.04
5.76	29.12	21.76	19.08	15.2	13.96	12.44	11.36	10.68	10.64	9.6	9.48	8.88	8.56	8.28	8.24	8.0	7.8	7.68	7.48	7.36	7.2	7.2	7.08	6.92	6.96	6.92	6.72	6.48	6.4	6.52	6.28	6.24	6.12	6.2	6.08	6.04	6.04	6.0	6.0	6.0
5.76	26.08	24.68	18.48	14.88	13.04	12.6	11.56	10.92	10.0	9.64	9.32	8.88	8.76	8.4	8.24	8.0	7.84	7.68	7.68	7.32	7.32	7.24	7.08	6.96	7.04	6.76	6.88	6.68	6.52	6.28	6.32	6.16	6.08	6.12	6.08	6.08	6.04	6.04	6.0	6.0
5.76	25.88	20.44	17.04	14.92	13.4	12.0	12.0	10.8	9.84	9.8	9.04	8.76	8.56	8.36	8.36	7.84	7.72	7.56	7.48	7.48	7.04	7.16	7.08	6.96	6.88	6.8	6.56	6.52	6.44	6.28	6.2	6.2	6.16	6.16	6.0	6.0	6.0	6.0	6.0	6.0
5.76	21.68	23.88	19.2	15.64	13.48	11.64	11.0	10.32	9.84	9.2	8.96	8.6	8.2	8.2	7.96	7.84	7.84	7.56	7.28	7.16	7.08	7.0	6.92	6.84	6.68	6.64	6.64	6.36	6.24	6.16	6.24	6.24	6.16	6.08	6.0	6.0	6.04	6.0	6.0	6.0
5.04	25.36	23.08	17.8	15.12	13.84	11.96	11.0	10.32	9.48	9.04	8.96	8.48	8.16	8.2	8.0	7.64	7.6	7.52	7.32	7.24	7.12	7.08	7.04	6.96	6.76	6.76	6.72	6.56	6.32	6.4	6.12	6.16	6.08	6.08	6.08	6.04	6.0	6.0	6.04	6.0
5.76	21.12	24.4	18.8	15.64	13.36	12.08	10.72	10.28	9.6	9.4	9.0	8.4	8.24	8.12	7.92	7.8	7.64	7.64	7.36	7.2	7.2	7.0	6.88	6.88	6.76	6.76	6.52	6.56	6.4	6.32	6.12	6.12	6.12	6.04	6.08	6.0	6.0	6.0	6.0	6.0
5.28	26.64	26.56	17.52	15.72	13.04	11.8	11.04	10.12	9.76	9.08	8.76	8.44	8.56	8.04	7.96	7.8	7.6	7.32	7.24	7.08	6.96	7.0	7.08	6.68	6.84	6.72	6.6	6.64	6.4	6.28	6.24	6.12	6.12	6.0	6.0	6.0	6.0	6.0	6.0	6.0
5.28	22.36	20.88	18.96	13.68	12.96	11.72	10.8	10.52	9.6	9.04	8.72	8.28	8.24	7.84	7.76	7.52	7.4	7.12	7.24	6.96	6.96	6.84	6.8	6.4	6.52	6.2	6.24	6.16	6.08	6.08	6.04	6.04	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
5.76	35.12	18.96	18.16	14.72	13.44	11.76	10.88	10.28	9.48	9.2	8.68	8.52	8.12	7.8	7.64	7.44	7.24	7.12	7.12	7.0	6.76	6.64	6.56	6.56	6.24	6.36	6.36	6.2	6.08	6.12	6.0	6.04	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
5.76	24.84	20.72	16.96	14.28	13.44	11.4	10.48	10.08	9.56	9.04	8.76	8.28	8.28	7.84	7.6	7.68	7.48	7.28	7.2	6.92	6.72	6.72	6.56	6.56	6.24	6.32	6.24	6.12	6.12	6.08	6.08	6.12	6.04	6.0	6.04	6.0	6.0	6.0	6.0	6.0
6.0	27.0	21.96	18.88	14.88	13.4	11.84	10.6	9.72	9.24	9.08	8.72	8.52	8.12	7.96	7.84	7.44	7.32	7.0	7.0	6.84	6.76	6.56	6.72	6.48	6.4	6.2	6.12	6.12	6.08	6.0	6.0	6.04	6.0	6.04	6.0	6.0	6.0	6.0	6.0	6.0
5.52	30.72	22.52	18.6	14.8	12.76	12.28	10.96	10.2	9.68	8.8	8.72	8.36	8.08	7.84	7.76	7.44	7.32	7.08	7.04	6.76	6.76	6.64	6.56	6.44	6.28	6.2	6.2	6.0	6.12	6.12	6.0	6.04	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
5.52	26.68	21.32	18.2	15.28	12.36	11.64	10.8	9.92	9.6	9.2	8.68	8.4	8.32	7.92	7.4	7.32	7.32	7.2	7.12	7.0	6.6	6.48	6.36	6.36	6.32	6.32	6.16	6.12	6.08	6.04	6.04	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
5.52	24.72	20.24	18.2	14.44	13.4	11.76	11.16	10.04	9.8	9.12	8.6	8.4	8.08	7.76	7.52	7.48	7.04	7.0	6.96	6.84	6.64	6.6	6.56	6.44	6.24	6.28	6.12	6.12	6.0	6.04	6.0	6.0	6.0	6.04	6.0	6.0	6.0	6.0	6.0	6.0
5.52	21.68	20.88	18.08	15.08	13.64	12.12	10.68	10.28	9.44	9.32	8.68	8.24	7.88	7.88	7.64	7.32	7.2	7.2	6.88	7.08	6.68	6.68	6.48	6.36	6.4	6.12	6.2	6.08	6.08	6.12	6.0	6.0	6.04	6.0	6.0	6.0	6.0	6.0	6.0	6.0
5.28	32.0	24.44	17.68	15.2	13.6	12.16	10.92	10.56	9.56	9.04	8.72	8.36	8.08	7.88	7.56	7.32	7.12	6.96	6.96	6.8	6.76	6.68	6.56	6.4	6.24	6.28	6.08	6.12	6.08	6.16	6.04	6.04	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
5.76	25.68	22.12	17.24	15.0	13.04	11.4	10.76	9.56	9.44	9.12	8.72	8.16	8.24	7.84	7.76	7.28	7.16	7.16	7.12	6.6	6.68	6.68	6.56	6.4	6.36	6.24	6.04	6.16	6.04	6.04	6.04	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
